height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
633562,1788018312.001,6.0,0,0,0,0.000000,0
633563,1788018318.0,5.999000072479248,0,0,0,0.000000,0
633564,1788018324.0,6.0,0,0,0,0.000000,0
633565,1788018330.0,6.0,0,0,0,0.000000,0
633566,1788018336.0,6.0,0,0,0,0.000000,0
633567,1788018342.001,6.000999927520752,0,0,0,0.000000,0
633568,1788018348.001,6.0,0,0,0,0.000000,0
633569,1788018354.0,5.999000072479248,0,0,0,0.000000,0
633570,1788018360.001,6.000999927520752,0,0,0,0.000000,0
633571,1788018366.0,5.999000072479248,0,0,0,0.000000,0
633572,1788018372.0,6.0,0,0,0,0.000000,0
633573,1788018378.001,6.000999927520752,0,0,0,0.000000,0
633574,1788018384.001,6.0,0,0,0,0.000000,0
633575,1788018390.001,6.0,0,0,0,0.000000,0
633576,1788018396.0,5.999000072479248,0,0,0,0.000000,0
633577,1788018402.001,6.000999927520752,0,0,0,0.000000,0
633578,1788018408.0,5.999000072479248,0,0,0,0.000000,0
633579,1788018414.0,6.0,0,0,0,0.000000,0
633580,1788018420.001,6.000999927520752,0,0,0,0.000000,0
633581,1788018426.0,5.999000072479248,0,0,0,0.000000,0
633582,1788018432.0,6.0,0,0,0,0.000000,0
633583,1788018438.0,6.0,0,0,0,0.000000,0
633584,1788018444.0,6.0,0,0,0,0.000000,0
633585,1788018450.0,6.0,0,0,0,0.000000,0
633586,1788018456.0,6.0,0,0,0,0.000000,0
633587,1788018462.0,6.0,0,0,0,0.000000,0
633588,1788018468.0,6.0,0,0,0,0.000000,0
633589,1788018474.001,6.000999927520752,0,0,0,0.000000,0
633590,1788018480.001,6.0,0,0,0,0.000000,0
633591,1788018486.0,5.999000072479248,0,0,0,0.000000,0
633592,1788018492.0,6.0,0,0,0,0.000000,0
633593,1788018498.0,6.0,0,0,0,0.000000,0
633594,1788018504.0,6.0,1,1,4046,0.004046,1
633595,1788018510.001,6.000999927520752,0,0,0,0.000000,0
633596,1788018516.001,6.0,0,0,0,0.000000,0
633597,1788018522.0,5.999000072479248,0,0,0,0.000000,0
633598,1788018528.0,6.0,0,0,0,0.000000,0
633599,1788018534.0,6.0,1,1,709,0.000709,1
633600,1788018540.001,6.000999927520752,0,0,0,0.000000,0
633601,1788018546.0,5.999000072479248,0,0,0,0.000000,0
633602,1788018552.0,6.0,0,0,0,0.000000,0
633603,1788018558.0,6.0,0,0,0,0.000000,0
633604,1788018564.0,6.0,0,0,0,0.000000,0
633605,1788018570.0,6.0,0,0,0,0.000000,0
633606,1788018576.0,6.0,0,0,0,0.000000,0
633607,1788018582.001,6.000999927520752,0,0,0,0.000000,0
633608,1788018588.0,5.999000072479248,0,0,0,0.000000,0
633609,1788018594.0,6.0,0,0,0,0.000000,0
633610,1788018600.001,6.000999927520752,0,0,0,0.000000,0
633611,1788018606.0,5.999000072479248,0,0,0,0.000000,0
633612,1788018612.0,6.0,0,0,0,0.000000,0
633613,1788018618.0,6.0,0,0,0,0.000000,0
633614,1788018624.0,6.0,0,0,0,0.000000,0
633615,1788018630.0,6.0,0,0,0,0.000000,0
633616,1788018636.0,6.0,0,0,0,0.000000,0
633617,1788018642.0,6.0,0,0,0,0.000000,0
633618,1788018648.0,6.0,0,0,0,0.000000,0
633619,1788018654.0,6.0,0,0,0,0.000000,0
633620,1788018660.0,6.0,0,0,0,0.000000,0
633621,1788018666.001,6.000999927520752,0,0,0,0.000000,0
633622,1788018672.0,5.999000072479248,0,0,0,0.000000,0
633623,1788018678.0,6.0,0,0,0,0.000000,0
633624,1788018684.0,6.0,0,0,0,0.000000,0
633625,1788018690.0,6.0,0,0,0,0.000000,0
633626,1788018696.0,6.0,0,0,0,0.000000,0
633627,1788018702.0,6.0,0,0,0,0.000000,0
633628,1788018708.0,6.0,0,0,0,0.000000,0
633629,1788018714.001,6.000999927520752,0,0,0,0.000000,0
633630,1788018720.0,5.999000072479248,0,0,0,0.000000,0
633631,1788018726.0,6.0,0,0,0,0.000000,0
633632,1788018732.0,6.0,0,0,0,0.000000,0
633633,1788018738.0,6.0,0,0,0,0.000000,0
633634,1788018744.0,6.0,0,0,0,0.000000,0
633635,1788018750.0,6.0,0,0,0,0.000000,0
633636,1788018756.0,6.0,0,0,0,0.000000,0
633637,1788018762.001,6.000999927520752,0,0,0,0.000000,0
633638,1788018768.0,5.999000072479248,0,0,0,0.000000,0
633639,1788018774.0,6.0,0,0,0,0.000000,0
633640,1788018780.0,6.0,0,0,0,0.000000,0
633641,1788018786.0,6.0,0,0,0,0.000000,0
633642,1788018792.0,6.0,0,0,0,0.000000,0
633643,1788018798.001,6.000999927520752,0,0,0,0.000000,0
633644,1788018804.0,5.999000072479248,0,0,0,0.000000,0
633645,1788018810.001,6.000999927520752,0,0,0,0.000000,0
633646,1788018816.0,5.999000072479248,0,0,0,0.000000,0
633647,1788018822.0,6.0,0,0,0,0.000000,0
633648,1788018828.0,6.0,0,0,0,0.000000,0
633649,1788018834.001,6.000999927520752,0,0,0,0.000000,0
633650,1788018840.0,5.999000072479248,0,0,0,0.000000,0
633651,1788018846.0,6.0,0,0,0,0.000000,0
633652,1788018852.0,6.0,0,0,0,0.000000,0
633653,1788018858.0,6.0,0,0,0,0.000000,0
633654,1788018864.0,6.0,0,0,0,0.000000,0
633655,1788018870.0,6.0,0,0,0,0.000000,0
633656,1788018876.0,6.0,0,0,0,0.000000,0
633657,1788018882.0,6.0,0,0,0,0.000000,0
633658,1788018888.001,6.000999927520752,0,0,0,0.000000,0
633659,1788018894.0,5.999000072479248,0,0,0,0.000000,0
633660,1788018900.0,6.0,0,0,0,0.000000,0
633661,1788018906.0,6.0,0,0,0,0.000000,0
633662,1788018912.0,6.0,0,0,0,0.000000,0
633663,1788018918.0,6.0,0,0,0,0.000000,0
633664,1788018924.0,6.0,0,0,0,0.000000,0
633665,1788018930.0,6.0,0,0,0,0.000000,0
633666,1788018936.0,6.0,0,0,0,0.000000,0
633667,1788018942.0,6.0,0,0,0,0.000000,0
633668,1788018948.0,6.0,0,0,0,0.000000,0
633669,1788018954.001,6.000999927520752,0,0,0,0.000000,0
633670,1788018960.0,5.999000072479248,0,0,0,0.000000,0
633671,1788018966.0,6.0,0,0,0,0.000000,0
633672,1788018972.0,6.0,0,0,0,0.000000,0
633673,1788018978.0,6.0,0,0,0,0.000000,0
633674,1788018984.001,6.000999927520752,0,0,0,0.000000,0
633675,1788018990.0,5.999000072479248,0,0,0,0.000000,0
633676,1788018996.0,6.0,0,0,0,0.000000,0
633677,1788019002.0,6.0,0,0,0,0.000000,0
633678,1788019008.0,6.0,0,0,0,0.000000,0
633679,1788019014.0,6.0,0,0,0,0.000000,0
633680,1788019020.0,6.0,0,0,0,0.000000,0
633681,1788019026.0,6.0,0,0,0,0.000000,0
633682,1788019032.0,6.0,0,0,0,0.000000,0
633683,1788019038.0,6.0,0,0,0,0.000000,0
633684,1788019044.0,6.0,0,0,0,0.000000,0
633685,1788019050.0,6.0,0,0,0,0.000000,0
633686,1788019056.0,6.0,0,0,0,0.000000,0
633687,1788019062.0,6.0,0,0,0,0.000000,0
633688,1788019068.001,6.000999927520752,0,0,0,0.000000,0
