height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
637996,1788044928.001,6.000999927520752,14,14,52119,0.052119,14
637997,1788044934.0,5.999000072479248,6,6,22331,0.022331,6
637998,1788044940.0,6.0,15,15,56254,0.056254,15
637999,1788044946.0,6.0,8,8,29781,0.029781,8
638000,1788044952.0,6.0,15,15,55844,0.055844,15
638001,1788044958.001,6.000999927520752,3,3,11169,0.011169,3
638002,1788044964.001,6.0,17,17,63486,0.063486,17
638003,1788044970.0,5.999000072479248,10,10,37228,0.037228,10
638004,1788044976.0,6.0,11,11,40949,0.040949,11
638005,1788044982.001,6.000999927520752,5,5,18615,0.018615,5
638006,1788044988.0,5.999000072479248,18,18,66993,0.066993,18
638007,1788044994.0,6.0,10,10,37226,0.037226,10
638008,1788045000.0,6.0,8,8,29782,0.029782,8
638009,1788045006.0,6.0,8,8,29783,0.029783,8
638010,1788045012.001,6.000999927520752,17,17,63488,0.063488,17
638011,1788045018.001,6.0,9,9,33506,0.033506,9
638012,1788045024.0,5.999000072479248,12,12,44674,0.044674,12
638013,1788045030.001,6.000999927520752,4,4,14892,0.014892,4
638014,1788045036.0,5.999000072479248,14,14,52101,0.052101,14
638015,1788045042.0,6.0,12,12,44674,0.044674,12
638016,1788045048.0,6.0,11,11,40950,0.040950,11
638017,1788045054.0,6.0,8,8,29768,0.029768,8
638018,1788045060.0,6.0,12,12,44668,0.044668,12
638019,1788045066.0,6.0,14,14,52118,0.052118,14
638020,1788045072.0,6.0,4,4,14890,0.014890,4
638021,1788045078.001,6.000999927520752,20,20,74658,0.074658,20
638022,1788045084.0,5.999000072479248,4,4,14892,0.014892,4
638023,1788045090.001,6.000999927520752,14,14,52120,0.052120,14
638024,1788045096.0,5.999000072479248,4,4,14891,0.014891,4
638025,1788045102.0,6.0,19,19,70712,0.070712,19
638026,1788045108.0,6.0,6,6,22337,0.022337,6
638027,1788045114.001,6.000999927520752,12,12,44674,0.044674,12
638028,1788045120.0,5.999000072479248,4,4,14891,0.014891,4
638029,1788045126.0,6.0,10,10,37427,0.037427,10
638030,1788045132.001,6.000999927520752,18,18,67008,0.067008,18
638031,1788045138.0,5.999000072479248,9,9,33505,0.033505,9
638032,1788045144.0,6.0,8,8,29777,0.029777,8
638033,1788045150.001,6.000999927520752,13,13,48601,0.048601,13
638034,1788045156.001,6.0,12,12,44673,0.044673,12
638035,1788045162.0,5.999000072479248,13,13,48392,0.048392,13
638036,1788045168.0,6.0,4,4,14892,0.014892,4
638037,1788045174.0,6.0,13,13,48384,0.048384,13
638038,1788045180.0,6.0,13,13,48396,0.048396,13
638039,1788045186.0,6.0,11,11,40944,0.040944,11
638040,1788045192.001,6.000999927520752,7,7,26053,0.026053,7
638041,1788045198.0,5.999000072479248,16,16,59776,0.059776,16
638042,1788045204.0,6.0,9,9,33506,0.033506,9
638043,1788045210.0,6.0,12,12,44667,0.044667,12
638044,1788045216.0,6.0,4,4,14886,0.014886,4
638045,1788045222.0,6.0,17,17,63279,0.063279,17
638046,1788045228.001,6.000999927520752,8,8,29783,0.029783,8
638047,1788045234.0,5.999000072479248,12,12,44660,0.044660,12
638048,1788045240.0,6.0,11,11,40945,0.040945,11
638049,1788045246.0,6.0,9,9,33498,0.033498,9
638050,1788045252.0,6.0,11,11,40946,0.040946,11
638051,1788045258.0,6.0,16,16,59561,0.059561,16
638052,1788045264.0,6.0,7,7,26060,0.026060,7
638053,1788045270.0,6.0,10,10,37220,0.037220,10
638054,1788045276.0,6.0,14,14,52113,0.052113,14
638055,1788045282.0,6.0,12,12,44668,0.044668,12
638056,1788045288.001,6.000999927520752,12,12,44676,0.044676,12
638057,1788045294.001,6.0,3,3,11168,0.011168,3
638058,1788045300.0,5.999000072479248,17,17,63272,0.063272,17
638059,1788045306.0,6.0,11,11,40945,0.040945,11
638060,1788045312.001,6.000999927520752,9,9,33504,0.033504,9
638061,1788045318.0,5.999000072479248,8,8,29776,0.029776,8
638062,1788045324.001,6.000999927520752,12,12,44885,0.044885,12
638063,1788045330.0,5.999000072479248,17,17,63281,0.063281,17
638064,1788045336.0,6.0,3,3,11168,0.011168,3
638065,1788045342.0,6.0,17,17,63275,0.063275,17
638066,1788045348.0,6.0,5,5,18613,0.018613,5
638067,1788045354.0,6.0,10,10,37218,0.037218,10
638068,1788045360.001,6.000999927520752,12,12,44671,0.044671,12
638069,1788045366.0,5.999000072479248,14,14,52108,0.052108,14
638070,1788045372.0,6.0,9,9,33506,0.033506,9
638071,1788045378.0,6.0,13,13,48607,0.048607,13
638072,1788045384.0,6.0,2,2,7446,0.007446,2
638073,1788045390.001,6.000999927520752,17,17,63276,0.063276,17
638074,1788045396.001,6.0,10,10,37227,0.037227,10
