height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
621731,1787947314.0,,0,0,0,0.000000,0
621732,1787947320.0,6.0,0,0,0,0.000000,0
621733,1787947326.0,6.0,0,0,0,0.000000,0
621734,1787947332.0,6.0,0,0,0,0.000000,0
621735,1787947338.0,6.0,0,0,0,0.000000,0
621736,1787947344.0,6.0,0,0,0,0.000000,0
621737,1787947350.0,6.0,0,0,0,0.000000,0
621738,1787947356.0,6.0,0,0,0,0.000000,0
621739,1787947362.0,6.0,0,0,0,0.000000,0
621740,1787947368.0,6.0,0,0,0,0.000000,0
621741,1787947374.0,6.0,1,1,18524,0.018524,1
621742,1787947380.0,6.0,0,0,0,0.000000,0
621743,1787947386.0,6.0,0,0,0,0.000000,0
621744,1787947392.0,6.0,0,0,0,0.000000,0
621745,1787947398.0,6.0,0,0,0,0.000000,0
621746,1787947404.001,6.000999927520752,1,1,21794,0.021794,1
621747,1787947410.0,5.999000072479248,0,0,0,0.000000,0
621748,1787947416.001,6.000999927520752,0,0,0,0.000000,0
621749,1787947422.0,5.999000072479248,1,1,3814,0.003814,1
621750,1787947428.0,6.0,1,1,3814,0.003814,1
621751,1787947434.001,6.000999927520752,1,1,3814,0.003814,1
621752,1787947440.001,6.0,0,0,0,0.000000,0
621753,1787947446.001,6.0,1,1,3813,0.003813,1
621754,1787947452.001,6.0,0,0,0,0.000000,0
621755,1787947458.0,5.999000072479248,0,0,0,0.000000,0
621756,1787947464.0,6.0,0,0,0,0.000000,0
621757,1787947470.001,6.000999927520752,1,1,3814,0.003814,1
621758,1787947476.0,5.999000072479248,0,0,0,0.000000,0
621759,1787947482.0,6.0,0,0,0,0.000000,0
621760,1787947488.0,6.0,0,0,0,0.000000,0
621761,1787947494.0,6.0,0,0,0,0.000000,0
621762,1787947500.0,6.0,0,0,0,0.000000,0
621763,1787947506.0,6.0,0,0,0,0.000000,0
621764,1787947512.0,6.0,0,0,0,0.000000,0
621765,1787947518.0,6.0,0,0,0,0.000000,0
621766,1787947524.001,6.000999927520752,0,0,0,0.000000,0
621767,1787947530.0,5.999000072479248,0,0,0,0.000000,0
621768,1787947536.0,6.0,0,0,0,0.000000,0
621769,1787947542.0,6.0,0,0,0,0.000000,0
621770,1787947548.0,6.0,0,0,0,0.000000,0
621771,1787947554.0,6.0,1,1,29497,0.029497,1
621772,1787947560.001,6.000999927520752,0,0,0,0.000000,0
621773,1787947566.0,5.999000072479248,0,0,0,0.000000,0
621774,1787947572.0,6.0,0,0,0,0.000000,0
621775,1787947578.001,6.000999927520752,0,0,0,0.000000,0
621776,1787947584.0,5.999000072479248,0,0,0,0.000000,0
621777,1787947590.001,6.000999927520752,0,0,0,0.000000,0
621778,1787947596.001,6.0,0,0,0,0.000000,0
621779,1787947602.0,5.999000072479248,0,0,0,0.000000,0
621780,1787947608.0,6.0,0,0,0,0.000000,0
621781,1787947614.0,6.0,0,0,0,0.000000,0
621782,1787947620.0,6.0,0,0,0,0.000000,0
621783,1787947626.0,6.0,0,0,0,0.000000,0
621784,1787947632.001,6.000999927520752,0,0,0,0.000000,0
621785,1787947638.0,5.999000072479248,0,0,0,0.000000,0
